ROUTE,DAY,DELAY
ATL-MIA,THU,58.84962406
ATL-MIA,FRI,43.88636364
ATL-MIA,SAT,44.10526316
ATL-MKE,SUN,50.82608696
ATL-MKE,MON,56.97183099
ATL-MKE,TUE,61.73972603
ATL-MKE,WED,67.56140351
ATL-MKE,THU,53.52
ATL-MKE,FRI,39.29166667
ATL-MKE,SAT,49.25641026
ATL-MLB,SUN,54.65217391
ATL-MLB,MON,53.83333333
ATL-MLB,TUE,54.91666667
ATL-MLB,WED,59.78571429
ATL-MLB,THU,48.09756098
ATL-MLB,FRI,45.32352941
ATL-MLB,SAT,35.75
ATL-MLI,SUN,54.73333333
ATL-MLI,MON,54.74358974
ATL-MLI,TUE,64.06451613
ATL-MLI,WED,58.41176471
ATL-MLI,THU,58.61290323
ATL-MLI,FRI,57.14285714
ATL-MLI,SAT,47.04347826
ATL-MLU,SUN,49.63157895
ATL-MLU,MON,58.04444444
ATL-MLU,TUE,69.02631579
ATL-MLU,WED,55.48837209
ATL-MLU,THU,74.93333333
ATL-MLU,FRI,41.4
ATL-MLU,SAT,42.8
ATL-MOB,SUN,44.63636364
ATL-MOB,MON,67.51764706
ATL-MOB,TUE,61.23333333
ATL-MOB,WED,59.3030303
ATL-MOB,THU,46.81395349
ATL-MOB,FRI,56.86666667
ATL-MOB,SAT,48.95833333
ATL-MSN,SUN,64.45454545
ATL-MSN,MON,48.05
ATL-MSN,TUE,66.33333333
ATL-MSN,WED,53.22222222
ATL-MSN,THU,70.04166667
ATL-MSN,FRI,78.81818182
ATL-MSN,SAT,76.625
ATL-MSO,SAT,155.6666667
ATL-MSP,SUN,46.75
ATL-MSP,MON,48.80869565
ATL-MSP,TUE,54.87850467
ATL-MSP,WED,45.61682243
ATL-MSP,THU,42.36065574
ATL-MSP,FRI,43.78688525
ATL-MSP,SAT,53.10606061
ATL-MSY,SUN,50.88461538
ATL-MSY,MON,54.65648855
ATL-MSY,TUE,52.92307692
ATL-MSY,WED,59.71052632
ATL-MSY,THU,53.21686747
ATL-MSY,FRI,55.15833333
ATL-MSY,SAT,59.52459016
ATL-MTJ,WED,58.5
ATL-MTJ,THU,260
ATL-MTJ,SAT,29.5
ATL-MYR,SUN,58.75757576
ATL-MYR,MON,67.71794872
ATL-MYR,TUE,57.53125
ATL-MYR,WED,49.94594595
ATL-MYR,THU,65.70588235
ATL-MYR,FRI,61.76923077
ATL-MYR,SAT,65.94736842
ATL-OAJ,SUN,57.67741935
ATL-OAJ,MON,64.54545455
ATL-OAJ,TUE,56.3125
ATL-OAJ,WED,53.63333333
ATL-OAJ,THU,57.14285714
ATL-OAJ,FRI,82.38709677
ATL-OAJ,SAT,51.61111111
ATL-OAK,SUN,23
ATL-OAK,THU,41
ATL-OAK,SAT,118
ATL-OKC,SUN,54.62857143
ATL-OKC,MON,57
ATL-OKC,TUE,67.82051282
ATL-OKC,WED,60.70212766
ATL-OKC,THU,53.90566038
ATL-OKC,FRI,50.86111111
ATL-OKC,SAT,49.68965517
ATL-OMA,SUN,47.79166667
ATL-OMA,MON,47.30434783
ATL-OMA,TUE,63.78378378
ATL-OMA,WED,83.03846154
ATL-OMA,THU,54.63636364
ATL-OMA,FRI,44.92592593
ATL-OMA,SAT,65.78947368
ATL-ORD,SUN,55.61386139
ATL-ORD,MON,76.703125
ATL-ORD,TUE,67.75652174
ATL-ORD,WED,71.76126126
